,dataset,method,cell,run,k,resolution,cluster,trueclass,est_k,elapsed
82,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1340,1,2,,1.0,b.cells,,120.97
83,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1316,1,2,,1.0,b.cells,,120.97
84,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1052,1,2,,1.0,b.cells,,120.97
85,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5111,1,2,,1.0,b.cells,,120.97
86,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells267,1,2,,1.0,b.cells,,120.97
87,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3093,1,2,,2.0,b.cells,,120.97
88,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7411,1,2,,1.0,b.cells,,120.97
89,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5642,1,2,,1.0,b.cells,,120.97
90,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2798,1,2,,1.0,b.cells,,120.97
91,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2039,1,2,,1.0,b.cells,,120.97
92,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1335,1,2,,1.0,b.cells,,120.97
93,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3251,1,2,,2.0,b.cells,,120.97
94,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1548,1,2,,2.0,b.cells,,120.97
95,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1297,1,2,,1.0,b.cells,,120.97
96,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4346,1,2,,1.0,b.cells,,120.97
97,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells386,1,2,,1.0,b.cells,,120.97
98,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7116,1,2,,1.0,b.cells,,120.97
99,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1006,1,2,,1.0,b.cells,,120.97
100,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9478,1,2,,1.0,b.cells,,120.97
101,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1215,1,2,,1.0,b.cells,,120.97
102,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2191,1,2,,2.0,b.cells,,120.97
103,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9104,1,2,,1.0,b.cells,,120.97
104,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9430,1,2,,1.0,b.cells,,120.97
105,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2783,1,2,,1.0,b.cells,,120.97
106,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1231,1,2,,1.0,b.cells,,120.97
107,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9127,1,2,,1.0,b.cells,,120.97
108,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9910,1,2,,1.0,b.cells,,120.97
109,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4843,1,2,,2.0,b.cells,,120.97
110,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2506,1,2,,1.0,b.cells,,120.97
111,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5012,1,2,,2.0,b.cells,,120.97
112,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4949,1,2,,2.0,b.cells,,120.97
113,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3171,1,2,,1.0,b.cells,,120.97
114,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9579,1,2,,2.0,b.cells,,120.97
115,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6312,1,2,,1.0,b.cells,,120.97
116,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1269,1,2,,1.0,b.cells,,120.97
117,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4211,1,2,,1.0,b.cells,,120.97
118,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9099,1,2,,2.0,b.cells,,120.97
119,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4655,1,2,,2.0,b.cells,,120.97
120,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9036,1,2,,1.0,b.cells,,120.97
121,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5947,1,2,,1.0,b.cells,,120.97
122,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6284,1,2,,1.0,b.cells,,120.97
123,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8645,1,2,,1.0,b.cells,,120.97
124,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5000,1,2,,1.0,b.cells,,120.97
125,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9782,1,2,,1.0,b.cells,,120.97
126,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3226,1,2,,1.0,b.cells,,120.97
127,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4786,1,2,,2.0,b.cells,,120.97
128,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3549,1,2,,2.0,b.cells,,120.97
129,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6238,1,2,,1.0,b.cells,,120.97
130,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7371,1,2,,1.0,b.cells,,120.97
131,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5625,1,2,,1.0,b.cells,,120.97
132,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9747,1,2,,1.0,b.cells,,120.97
133,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5732,1,2,,2.0,b.cells,,120.97
134,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4362,1,2,,1.0,b.cells,,120.97
135,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2271,1,2,,1.0,b.cells,,120.97
136,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells817,1,2,,1.0,b.cells,,120.97
137,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8445,1,2,,1.0,b.cells,,120.97
138,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5977,1,2,,1.0,b.cells,,120.97
139,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9916,1,2,,1.0,b.cells,,120.97
140,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3729,1,2,,1.0,b.cells,,120.97
141,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4263,1,2,,2.0,b.cells,,120.97
142,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5716,1,2,,1.0,b.cells,,120.97
143,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4292,1,2,,1.0,b.cells,,120.97
144,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2231,1,2,,1.0,b.cells,,120.97
145,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells844,1,2,,1.0,b.cells,,120.97
146,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6322,1,2,,1.0,b.cells,,120.97
147,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4276,1,2,,1.0,b.cells,,120.97
148,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells722,1,2,,1.0,b.cells,,120.97
149,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7958,1,2,,2.0,b.cells,,120.97
150,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9943,1,2,,2.0,b.cells,,120.97
151,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7509,1,2,,1.0,b.cells,,120.97
152,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5793,1,2,,2.0,b.cells,,120.97
153,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7027,1,2,,1.0,b.cells,,120.97
154,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4233,1,2,,1.0,b.cells,,120.97
155,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3406,1,2,,1.0,b.cells,,120.97
156,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7523,1,2,,1.0,b.cells,,120.97
157,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4202,1,2,,1.0,b.cells,,120.97
158,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5558,1,2,,1.0,b.cells,,120.97
159,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1151,1,2,,2.0,b.cells,,120.97
160,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3002,1,2,,1.0,b.cells,,120.97
161,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3416,1,2,,2.0,b.cells,,120.97
162,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5949,1,2,,1.0,b.cells,,120.97
163,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells754,1,2,,1.0,b.cells,,120.97
164,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9466,1,2,,1.0,b.cells,,120.97
165,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells220,1,2,,1.0,b.cells,,120.97
166,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8333,1,2,,1.0,b.cells,,120.97
167,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3070,1,2,,1.0,b.cells,,120.97
168,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6323,1,2,,1.0,b.cells,,120.97
169,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9820,1,2,,1.0,b.cells,,120.97
170,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9953,1,2,,1.0,b.cells,,120.97
171,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8738,1,2,,1.0,b.cells,,120.97
172,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8013,1,2,,1.0,b.cells,,120.97
173,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8129,1,2,,1.0,b.cells,,120.97
174,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8255,1,2,,1.0,b.cells,,120.97
175,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9720,1,2,,1.0,b.cells,,120.97
176,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6320,1,2,,1.0,b.cells,,120.97
177,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6532,1,2,,1.0,b.cells,,120.97
178,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5223,1,2,,1.0,b.cells,,120.97
179,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3138,1,2,,1.0,b.cells,,120.97
180,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7588,1,2,,1.0,b.cells,,120.97
181,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5201,1,2,,1.0,b.cells,,120.97
182,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7236,1,2,,2.0,b.cells,,120.97
183,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3993,1,2,,1.0,b.cells,,120.97
184,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2019,1,2,,1.0,b.cells,,120.97
185,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9735,1,2,,1.0,b.cells,,120.97
186,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5593,1,2,,1.0,b.cells,,120.97
187,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2769,1,2,,2.0,b.cells,,120.97
188,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1828,1,2,,1.0,b.cells,,120.97
189,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7484,1,2,,1.0,b.cells,,120.97
190,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5595,1,2,,1.0,b.cells,,120.97
191,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6304,1,2,,1.0,b.cells,,120.97
192,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6915,1,2,,2.0,b.cells,,120.97
193,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4729,1,2,,1.0,b.cells,,120.97
194,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8390,1,2,,1.0,b.cells,,120.97
195,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4167,1,2,,1.0,b.cells,,120.97
196,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells310,1,2,,2.0,b.cells,,120.97
197,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2547,1,2,,1.0,b.cells,,120.97
198,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3303,1,2,,1.0,b.cells,,120.97
199,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1317,1,2,,2.0,b.cells,,120.97
200,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4926,1,2,,1.0,b.cells,,120.97
201,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7909,1,2,,1.0,b.cells,,120.97
202,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3324,1,2,,1.0,b.cells,,120.97
203,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5017,1,2,,1.0,b.cells,,120.97
204,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4874,1,2,,1.0,b.cells,,120.97
205,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7855,1,2,,1.0,b.cells,,120.97
206,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5587,1,2,,1.0,b.cells,,120.97
207,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9991,1,2,,1.0,b.cells,,120.97
208,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7957,1,2,,1.0,b.cells,,120.97
209,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2091,1,2,,2.0,b.cells,,120.97
210,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7383,1,2,,1.0,b.cells,,120.97
211,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3026,1,2,,1.0,b.cells,,120.97
212,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4821,1,2,,1.0,b.cells,,120.97
213,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9745,1,2,,1.0,b.cells,,120.97
214,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4176,1,2,,1.0,b.cells,,120.97
215,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2406,1,2,,1.0,b.cells,,120.97
216,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2138,1,2,,1.0,b.cells,,120.97
217,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6783,1,2,,1.0,b.cells,,120.97
218,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9647,1,2,,1.0,b.cells,,120.97
219,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4695,1,2,,1.0,b.cells,,120.97
220,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7611,1,2,,1.0,b.cells,,120.97
221,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5651,1,2,,1.0,b.cells,,120.97
222,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9502,1,2,,1.0,b.cells,,120.97
223,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7839,1,2,,2.0,b.cells,,120.97
224,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5232,1,2,,1.0,b.cells,,120.97
225,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5868,1,2,,1.0,b.cells,,120.97
226,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2595,1,2,,1.0,b.cells,,120.97
227,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2749,1,2,,2.0,b.cells,,120.97
228,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells641,1,2,,2.0,b.cells,,120.97
229,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5536,1,2,,1.0,b.cells,,120.97
230,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2579,1,2,,1.0,b.cells,,120.97
231,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells33,1,2,,2.0,b.cells,,120.97
232,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5794,1,2,,1.0,b.cells,,120.97
233,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9990,1,2,,2.0,b.cells,,120.97
234,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8299,1,2,,1.0,b.cells,,120.97
235,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells291,1,2,,1.0,b.cells,,120.97
236,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5892,1,2,,1.0,b.cells,,120.97
237,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2637,1,2,,1.0,b.cells,,120.97
238,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1185,1,2,,1.0,b.cells,,120.97
239,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells989,1,2,,1.0,b.cells,,120.97
240,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7347,1,2,,1.0,b.cells,,120.97
241,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells157,1,2,,1.0,b.cells,,120.97
242,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells486,1,2,,1.0,b.cells,,120.97
243,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7339,1,2,,1.0,b.cells,,120.97
244,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3507,1,2,,1.0,b.cells,,120.97
